Full Name,department,12th Mark,10th Mark,Current CGPA,Backlogs,Company Placed,Skills Known,Projects Done,Certifications/Internships
Rahul Sharma,cse,80,85.6,7.2,0,KPIT Technologies, Python,"E-commerce Website Development, Student Database Management","Infosys Internship,  Java Certification"
Priya Patel,it,89.3,82.7,6.8,0,Wipro Technologies,Css,"Inventory Management System, Network Security Tool",
Karan Mehta,ece,81,88,7.5,0,Cognizant, JavaScript,"Food Delivery App, Travel Experience App","Wipro Internship,  CompTIA Security+"
Pooja Gupta,eee,81,86.5,7.1,0,KPIT Technologies, PHP,"Sales Forecasting System, Cloud Migration Project",Tech Mahindra Internship
Ankit Verma,cse,76.7,80.5,6.5,0,Tech Mahindra, Java,"Online Voting System, DevOps Implementation",HCL Technologies Internship
Sneha Singh,it,84,89.2,7.8,0,Infosys, Python,"Sentiment Analysis Model, E-commerce Platform",L&T Infotech Internship
Rohit Saini,ece,86.7,81.8,6.9,0,Wipro Technologies, JavaScript,"Bug Tracking System, UI Redesign for an App","Mphasis Internship, Machine Learning Certification"
Simran Yadav,eee,82,87.3,7.4,0,Cognizant, SQL,"CRM Software, Inventory Management System",Mindtree Internship
Abhishek Gupta,cse,88,84.2,6.7,0,Wipro Technologies, Python,"Cloud Migration Project, Data Analysis Tool",Persistent Systems Internship
Priyanka Kapoor,it,81.6,87.7,7.3,0,KPIT Technologies, Ruby,"E-commerce Platform, Mobile Task Management App",L&T Technology Services Internship
Jatin Verma,ece,78.2,79.5,6.3,0,Tech Mahindra, JavaScript,"Inventory Management System, UI/UX Redesign",Hexaware Technologies Internship
Kavita Sharma,eee,81.2,86.2,7.1,0,KPIT Technologies, Java,"Customer Data Analysis, Database Optimization Tool",Mindfire Solutions Internship
Alok Yadav,cse,87.4,81.3,6.8,0,Wipro Technologies, JavaScript,"Location-Based Services App, UI Redesign for Mobile App","Cognizant Internship,  Data Science Certification"
Meenakshi Singh,it,82.5,88.5,7.6,0,Cognizant, SQL,"Software Testing Framework, Cloud Migration Project",Techjini Internship
Rishabh Kapoor,ece,79,80.2,6.5,0,Tech Mahindra, PHP,"E-commerce Website Development, Data Analysis Tool","Mphasis Internship,  CompTIA Cloud+"
Aparna Verma,eee,80.6,86.3,7.2,0,KPIT Technologies, JavaScript,"Finance Management App, UI Redesign for Web App","Quinnox Internship,  PHP Certification"
Arjun Saini,cse,76.1,79,6.2,3,Tech Mahindra,Css,"Automotive Diagnostics Software, Embedded System for Vehicles",Birlasoft Internship
Ritu Singh,it,91.4,87,7,0,Wipro Technologies, Ruby,"Content Management System, Mobile Task Management App",KPIT Technologies Internship
Sameer Gupta,ece,77.5,81.7,6.6,0,Tech Mahindra, JavaScript,"Bug Tracking System, Database Optimization Tool",Sonata Software Internship
Nisha Yadav,eee,81.5,87.6,7.5,0,Cognizant, SQL,"Sales Forecasting System, Cloud Migration Project",Syntel Internship
Deepak Verma,cse,78.1,79.4,6.3,0,Tech Mahindra, JavaScript,"Website Redesign, UI/UX Redesign for Web App",Coforge Internship
Kirti Kapoor,it,89.9,84.5,6.7,0,Wipro Technologies, Java,"Inventory Management System, Database Optimization Tool",CSS Corp Internship
Arjun Saini,ece,70,90.3,4,1,css corp, Python,"E-commerce Website Development, Student Database Management",L&T Infotech Internship
